round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
30,2.446777955,0.847861596,0.043480301,0.976775674,60,30,20,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f1802f6aea0>
30,2.448253538,0.847642367,0.043424966,0.976751744,60,35,25,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f1802f6aea0>
30,2.448722465,0.847580613,0.044233335,0.976738621,70,30,20,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f1802f6aea0>
30,2.412247008,0.847880122,0.043069769,0.976737849,70,30,20,256,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7f1802f6aea0>
30,2.44654769,0.847941877,0.043902851,0.97672627,50,30,20,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f1802f6aea0>
30,2.396379183,0.848031421,0.043474217,0.976723182,60,40,25,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x7f1802f6aea0>
30,2.446991544,0.84785542,0.043618579,0.976697709,60,30,25,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f1802f6aea0>
30,2.449131816,0.847725736,0.043942785,0.976689217,60,35,20,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f1802f6aea0>
30,2.447165269,0.847821455,0.04387046,0.976667603,50,40,25,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f1802f6aea0>
30,2.433642141,0.847648543,0.044207177,0.976649849,60,40,25,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f1802f6aea0>
30,2.449929329,0.847768964,0.043751325,0.976646761,50,35,20,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x0000024585682268>
30,2.434279194,0.847645455,0.04389662,0.976639814,70,30,20,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f1802f6aea0>
30,2.436873531,0.84750342,0.044234678,0.976507813,60,35,20,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f1802f6aea0>
30,2.447068009,0.847636192,0.043893565,0.976395883,50,35,20,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f1802f6aea0>
30,2.408776597,0.847518858,0.045430648,0.976224515,70,35,20,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f1802f6aea0>
30,2.446473388,0.847877034,0.044041295,0.976209848,70,30,20,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f1802f6aea0>
30,2.448852535,0.847657806,0.044816114,0.976080164,70,40,20,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f1802f6aea0>
30,2.124575036,0.847191559,0.045304661,0.975969005,60,35,25,256,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f1802f6aea0>
30,2.446519221,0.848000543,0.044829291,0.975968233,70,40,20,64,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f1802f6aea0>
30,1.853631073,0.847583701,0.044720196,0.975842409,50,30,20,256,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f1802f6aea0>
30,1.993325723,0.847308893,0.044887303,0.975830058,60,30,25,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x7f1802f6aea0>
30,2.43406943,0.847630016,0.051574999,0.973841563,50,30,20,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.452200127,0.847580613,0.057070366,0.973462544,50,30,20,256,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.484298927,0.845641521,0.06420886,0.97328886,60,30,20,256,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.444260435,0.848139491,0.069083552,0.972694473,50,35,25,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.451902218,0.847373735,0.062010317,0.972600297,50,35,20,256,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.477886195,0.845382152,0.073372115,0.972415034,50,40,25,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.481339974,0.845610644,0.070062383,0.97184998,60,35,25,256,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.487405895,0.845669311,0.076589923,0.968177902,60,30,25,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.489193272,0.845230854,0.085493012,0.967927025,60,40,20,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.488749723,0.84524938,0.094912765,0.967304848,60,40,25,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.485321764,0.845311135,0.098040877,0.966991444,60,35,20,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.452566241,0.846725313,0.096718932,0.966559934,70,35,20,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.488836366,0.845304959,0.09972838,0.966244214,50,35,25,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.49474423,0.844928257,0.145495773,0.962607646,50,35,20,32,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.463344028,0.846447418,0.202990117,0.960730309,50,35,25,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.491254565,0.844804748,0.191034089,0.955294368,70,30,20,32,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.481440926,0.845397591,0.297946101,0.954102506,60,35,25,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.488620184,0.845206152,0.355464,0.949898568,60,40,25,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.48301803,0.845854574,0.369216794,0.94441554,60,30,25,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.506642772,0.842874919,0.511719835,0.934558749,70,35,25,32,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x7f1802f6aea0>
30,2.446772827,0.847873926,0.041582103,0.9776765,50,30,20,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000001262F44CAF8>
30,2.445628235,0.848145667,0.042382658,0.977608588,50,35,25,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f07e323aea0>
30,2.447120922,0.84792335,0.042401492,0.977576166,50,30,20,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f0d10e14d08>
30,2.430723773,0.848046859,0.042628941,0.977559956,50,35,25,256,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f0d10e14d08>
30,2.443562634,0.848124052,0.042467162,0.977522903,70,30,25,64,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f0d10e14d08>
30,2.439250451,0.848161105,0.042490527,0.977505149,60,35,25,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f07e323aea0>
30,2.445813878,0.848080824,0.042565609,0.977468868,60,30,20,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f0d10e14d08>
30,2.446061198,0.848114789,0.043490718,0.977451886,70,35,20,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f0d10e14d08>
30,2.445513135,0.848080824,0.042740935,0.977442622,50,35,25,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f07e323aea0>
30,2.445912961,0.848037601,0.041938162,0.97742254,50,30,25,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000001262F44CAF8>
30,2.445742521,0.848046859,0.042586702,0.977380868,70,30,20,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f07e323aea0>
30,2.445270528,0.848117877,0.043411407,0.977352306,50,35,20,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f07e323aea0>
30,2.448338921,0.847920263,0.042630514,0.977338412,60,30,20,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f07e323aea0>
30,2.445751421,0.848077737,0.042787035,0.97733378,70,40,25,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f0d10e14d08>
30,2.445522409,0.848090087,0.042581984,0.977323745,60,40,20,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f0d10e14d08>
30,2.445750673,0.847907912,0.042652852,0.977310622,50,30,20,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f07e323aea0>
30,2.446383678,0.848077737,0.042899724,0.977284376,60,30,25,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f07e323aea0>
30,2.449072863,0.847558999,0.04325056,0.977284376,70,40,20,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f0d10e14d08>
30,2.443118999,0.847667069,0.043239686,0.97719406,70,30,20,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f07e323aea0>
30,2.446889508,0.847966578,0.04385415,0.977158552,60,30,20,32,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f0d10e14d08>
30,2.415858633,0.84785542,0.042940796,0.977072867,70,40,25,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7f0d10e14d08>
30,2.447712165,0.847818368,0.043634302,0.977067464,70,35,25,32,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f07e323aea0>
30,2.45302046,0.846206575,0.043367541,0.977055113,70,40,20,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7f0d10e14d08>
