round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,fourth_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
30,2.478412009,0.846067627,0.054371548,0.976679954,70,40,35,25,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.481604508,0.845845311,0.051111948,0.976574972,70,40,35,20,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.449620435,0.84761149,0.043932804,0.976507042,70,50,35,20,256,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.481100823,0.845369801,0.05257062,0.97625848,60,40,30,25,256,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.467027147,0.8456971,0.052771086,0.976200585,70,40,35,25,256,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.479899147,0.845888539,0.056160318,0.976087111,70,40,30,20,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.47857677,0.846070715,0.075103687,0.975900304,70,40,30,20,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.477053248,0.845675486,0.062348196,0.973972791,60,40,30,20,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.448496438,0.847654718,0.07616096,0.970881206,60,50,30,25,256,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.486532408,0.845428468,0.132948763,0.9649713,70,50,35,20,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.51603996,0.84138046,0.15869541,0.963879789,60,40,35,20,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.496090538,0.844993099,0.260180224,0.958193742,70,50,30,25,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.506180693,0.842241936,0.252318927,0.957302934,60,40,30,20,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.49496106,0.844690502,0.271651058,0.955285105,70,50,30,20,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.487132548,0.844844888,0.368689713,0.94953962,70,40,35,25,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,3.607322175,0.773700608,0.433885186,0.945727051,70,50,35,25,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.445990079,0.847994368,0.580330767,0.944420943,70,50,35,25,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.482232253,0.845409942,0.576680373,0.942088939,70,40,30,20,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.58375047,0.838953508,0.53230993,0.939282968,70,50,30,20,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.475628372,0.845539626,0.562491251,0.937160929,70,40,30,20,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.549630736,0.839818071,0.625558143,0.933034956,60,40,35,25,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.504041133,0.843896956,0.624467396,0.932743938,60,40,35,25,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.507782535,0.842911972,0.739954784,0.926201048,60,40,35,20,32,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.478336958,0.846089241,1.11714017,0.911542072,60,40,35,25,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.478091021,0.846154084,1.120282312,0.91118544,60,50,30,25,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,2.504629005,0.84419029,1.095536958,0.903801916,70,40,35,20,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,7.041817621,0.562963352,1.969436045,0.877139408,70,50,30,25,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7efbf9389ba8>
30,7.257655714,0.549720098,2.819534131,0.797180444,70,40,30,25,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,3.591316983,0.776510438,4.227860083,0.735008321,70,50,35,20,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7f89289c4cc0>
30,2.417603816,0.847997456,0.041926591,0.977881851,70,40,35,25,256,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7fecbdad3bf8>
30,2.446129146,0.848043772,0.04260801,0.97768964,60,50,35,25,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7fc3fc894bf8>
30,2.436604199,0.848108614,0.042277385,0.97760936,60,40,35,20,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7fecbdad3bf8>
30,2.445795194,0.848053035,0.04238362,0.977593149,60,40,30,20,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7fecbdad3bf8>
30,2.288436643,0.848083912,0.042347199,0.977558412,70,50,35,25,256,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7fecbdad3bf8>
30,2.449364224,0.847694859,0.042627922,0.977500517,70,40,30,25,32,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7fc3fc894bf8>
30,2.445631696,0.848111702,0.042811583,0.977497429,60,40,35,20,64,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7fc3fc894bf8>
30,2.443422293,0.848062298,0.042263565,0.977484307,70,50,30,25,256,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7fc3fc894bf8>
30,2.421560179,0.847849245,0.042662317,0.977466552,70,40,30,25,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7fecbdad3bf8>
30,2.442830926,0.847920263,0.04307497,0.977454201,60,40,30,25,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7fecbdad3bf8>
30,2.29539542,0.848003631,0.042487969,0.977439535,60,40,35,25,256,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7fecbdad3bf8>
30,2.447615443,0.84761149,0.043364481,0.977439535,70,50,30,20,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7fecbdad3bf8>
30,2.445837937,0.848093175,0.043302785,0.977418692,70,50,35,20,256,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7fecbdad3bf8>
30,2.446518178,0.848071561,0.043509255,0.977265078,70,40,30,25,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7fecbdad3bf8>
30,2.447866575,0.847821455,0.044139904,0.977116867,60,50,30,25,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7fecbdad3bf8>
30,2.44689578,0.848000543,0.044096547,0.977074411,60,50,30,20,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7fc3fc894bf8>
30,2.446691231,0.847694859,0.043103095,0.97706978,60,40,35,20,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7fecbdad3bf8>
30,2.434060943,0.847772052,0.043132029,0.977052797,60,40,35,20,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7fc3fc894bf8>
30,2.442319778,0.847775139,0.043390335,0.977031183,70,40,35,25,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7fc3fc894bf8>
30,2.446633185,0.848003631,0.043719041,0.976991043,60,40,30,25,64,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7fecbdad3bf8>
30,2.440317834,0.847506507,0.043508126,0.97695013,70,50,30,20,256,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7fecbdad3bf8>
30,2.436712648,0.847620753,0.044095892,0.976910762,70,40,30,25,64,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7fecbdad3bf8>
30,2.446706423,0.84792335,0.043934531,0.97690227,60,40,35,25,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7fc3fc894bf8>
30,2.448919246,0.847870859,0.043162547,0.976895323,60,40,30,25,64,20,30,0,normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7fc3fc894bf8>
30,2.444375664,0.848087,0.045212946,0.976758691,60,50,35,20,32,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x7fecbdad3bf8>
30,2.310241179,0.847497244,0.043668379,0.97672627,70,40,35,25,256,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7fecbdad3bf8>
30,2.447447396,0.847846157,0.044298327,0.976686902,60,50,35,20,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x7fc3fc894bf8>
