round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
30,7.068883442,0.56143184,3.195177926,0.775898297,70,25,256,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,7.069182048,0.561413314,6.834208294,0.567249887,60,30,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,7.068883439,0.56143184,6.838958039,0.563502932,60,35,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x000001FAF35EAD30>
30,7.068933207,0.561428752,7.02642659,0.555819127,70,30,32,20,30,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,7.068883439,0.56143184,7.313182815,0.540593553,70,30,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x000001FAF35EAD30>
30,7.068883439,0.56143184,7.490014787,0.529337251,50,20,32,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x000001A4597FCEF0>
30,7.068883439,0.56143184,7.550778522,0.524799066,60,35,64,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x000001FAF35EAD30>
30,2.44620353,0.848071561,0.042917031,0.97746578,70,30,64,20,30,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x0000027B0D4872F0>
30,2.446307659,0.847932613,0.042934201,0.977347675,70,35,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x0000027B0D4872F0>
30,2.446107015,0.848080824,0.043088373,0.977343815,70,35,32,20,30,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x0000027B0D4872F0>
30,2.446413318,0.848074649,0.042950229,0.977292868,70,30,64,20,30,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x0000027B0D4872F0>
30,2.446537971,0.847920263,0.043496118,0.976849007,70,20,64,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x0000027B0D4872F0>
30,7.280145799,0.85089606,0.043800113,0.9767538,60,15,64,20,30,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x00000206FE9510D8>
30,2.448166121,0.847704122,0.043764019,0.976742481,70,35,32,20,30,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function selu at 0x0000020FEC9B5B70>
