round_epochs,val_loss,val_acc,loss,acc,hidden_layer,first_neuron,second_neuron,third_neuron,fourth_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
50,2.134802233,0.810060326,0.011958431,0.997602661,2,100,30,0,0,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.853476559,0.809882896,0.004890878,0.99849174,2,80,30,0,0,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.693290837,0.809439319,0.005072288,0.998388544,2,80,40,0,0,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.742151785,0.808685238,0.003177277,0.998888651,2,100,50,0,0,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.607646678,0.808596522,0.003033488,0.998880713,2,60,50,0,0,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.741910317,0.807265791,0.00489644,0.998452049,2,100,30,0,0,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,2.04089368,0.806556068,0.010576236,0.997896375,2,80,40,0,0,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.749254882,0.806245564,0.007436823,0.99818215,2,60,20,0,0,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,2.025295272,0.805580199,0.004584639,0.998547308,2,60,20,0,0,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.672567449,0.80478176,0.003154408,0.998896589,2,60,40,0,0,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.640188068,0.803850248,0.004683652,0.998515555,2,60,20,0,0,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.501535777,0.803451029,0.003398119,0.998809269,2,60,40,0,0,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.765739255,0.80247516,0.003044001,0.998920404,2,100,50,0,0,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.414761735,0.802297729,0.003299244,0.998880713,2,60,40,0,0,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.585703597,0.801454933,0.003244923,0.998880713,2,60,50,0,0,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.676462001,0.801188786,0.003112402,0.998928342,2,100,20,0,0,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.546305231,0.801100071,0.003243762,0.998896589,2,80,40,0,0,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,2.288486902,0.800567779,0.01071836,0.997967819,2,100,40,0,0,64,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.782271877,0.800301632,0.003365339,0.998833083,2,60,30,0,0,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.540504576,0.800168559,0.003282035,0.998912465,2,100,30,0,0,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.597996152,0.799503194,0.003567369,0.998880713,2,60,30,0,0,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.259446183,0.799458836,0.004400589,0.998674319,2,60,30,0,0,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.808756225,0.79861604,0.009585968,0.998078953,2,80,50,0,0,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.192330665,0.798571682,0.007510316,0.99773761,2,80,30,0,0,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,ELU
50,1.782866339,0.798527324,0.003147863,0.998928342,2,80,40,0,0,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,2.021245299,0.798305536,0.014450645,0.997221627,2,80,20,0,0,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.626832137,0.797507097,0.003610359,0.998793392,2,80,20,0,0,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.623757869,0.797107878,0.013555246,0.99747565,2,100,20,0,0,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.689125771,0.796442512,0.007248624,0.998078953,2,60,30,0,0,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.475861132,0.794135912,0.005281925,0.998507617,2,60,20,0,0,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.590772258,0.793026969,0.002895443,0.998991847,2,100,30,0,0,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.751545282,0.79262775,0.003435941,0.998833083,2,80,30,0,0,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.554831114,0.791563165,0.003267303,0.998904527,2,60,50,0,0,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,2.049956847,0.790631654,0.004956036,0.998483802,2,100,20,0,0,256,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
