round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
50,1.473624204,0.809261888,0.002800925,0.998999786,75,60,20,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002310C9D2EA0>
50,1.517919204,0.808907026,0.00393892,0.998793392,75,60,20,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002310CE2AB70>
50,1.442064483,0.808907026,0.015431158,0.997134307,80,50,20,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
50,1.629951889,0.80864088,0.004181879,0.998666381,80,50,15,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
50,1.63660246,0.808374734,0.026900122,0.995292642,80,50,15,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
50,1.837803418,0.80806423,0.002890227,0.998888651,75,40,30,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x000002310C9D2C80>
50,1.79831223,0.807886799,0.007349345,0.998055139,80,60,20,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
50,1.623737366,0.807753726,0.002592907,0.9990236,75,60,30,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002310C9D2EA0>
50,1.663962372,0.80748758,0.004105443,0.99862669,75,50,15,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002310CE2AB70>
50,1.699422021,0.807221434,0.00296903,0.998896589,80,40,15,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x000002310C9D2C80>
50,1.509442376,0.807221434,0.002582411,0.999047415,100,60,20,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002310C9D2EA0>
50,1.433010946,0.807132718,0.003031274,0.998952156,100,50,30,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x000002310C9D2C80>
50,1.91654477,0.807044003,0.006900062,0.998301223,100,40,30,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.656717215,0.806999645,0.004321376,0.998721948,80,40,15,256,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x000002310C9D2C80>
50,1.829996856,0.806999645,0.014253351,0.99689616,75,40,15,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
50,2.048707337,0.80691093,0.004446585,0.998563184,80,50,30,256,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
50,1.632928272,0.806866572,0.009734733,0.997674105,75,60,30,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
50,1.651128609,0.806822214,0.010292611,0.997769363,80,40,15,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.565127954,0.806822214,0.003818927,0.99880133,80,50,20,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002310CE2AB70>
50,1.532465502,0.806467353,0.007633008,0.997975757,80,40,20,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
50,1.957136724,0.806156849,0.005741089,0.998301223,75,50,30,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.968151357,0.806156849,0.039087832,0.993363657,80,50,30,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<function selu at 0x000002310CE2AB70>
50,2.090187557,0.806112491,0.005259559,0.998428235,80,40,15,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.386701111,0.805979418,0.002564642,0.999095044,80,60,15,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002310C9D2EA0>
50,1.657152058,0.805713272,0.00459645,0.998523493,75,40,30,256,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
50,1.54467014,0.805713272,0.013050683,0.997634414,75,50,30,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.883929034,0.805713272,0.010134375,0.997674105,80,60,20,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.786881788,0.805624556,0.014768168,0.997301009,80,40,30,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,2.066333397,0.805580199,0.025479114,0.994935423,80,50,30,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.695652807,0.805447126,0.002625501,0.999039477,80,50,15,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002310C9D2EA0>
