round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,fourth_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
50,1.129797042,0.799414478,0.003457441,0.998864836,90,50,30,15,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.010301456,0.795156139,0.009670999,0.997213689,75,50,40,20,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.435894226,0.808286018,0.002691993,0.999015662,100,60,40,20,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,9.17510288,0.43075763,7.456875121,0.537170664,75,50,40,15,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,0.90815783,0.791829312,0.009091167,0.997499464,90,50,40,15,256,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.034823126,0.798083747,0.0051994,0.998428235,80,60,40,20,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.898439535,0.817113201,0.019902704,0.996650076,75,60,40,20,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,1.232522266,0.795732789,0.003079984,0.998896589,100,60,40,15,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.110057166,0.798128105,0.00310289,0.998920404,100,60,40,20,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.653032787,0.790055004,0.008668431,0.997824931,75,50,40,15,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,10.7859114,0.33081973,10.00144324,0.379073293,75,50,30,20,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.195555776,0.798749113,0.003220041,0.998920404,80,60,30,20,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.4501191,0.800833925,0.002990489,0.998952156,90,50,30,20,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.637069032,0.816181689,0.004681872,0.998531431,75,60,40,15,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,1.246150421,0.803584102,0.003431884,0.998872774,75,50,40,15,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,2.101229701,0.800035486,0.008958732,0.998031324,75,50,40,15,64,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
